Day,1,2,3,4,5,6,7,8,9,10,11,12
1,,211.1,112.99,96.64,103.02,72.35,599.59,233.16,36.46,39.49,109.18,8.04
2,,195.53,74.4,245.61,279.64,51.75,727.65,171.3,8.94,100.63,149.74,126.41
3,,51.82,106.46,246.41,443.67,67.71,776.02,45.69,16.21,100.98,400.72,120.94
4,,83.44,219.84,151.15,152.57,90.72,207.59,136.98,80.88,65.09,372.77,100.34
5,,367.09,133.88,100.48,302.57,26.73,128.18,111.42,65.84,107.46,70.69,66.09
6,,247.78,33.52,50.78,489.61,39.32,181.78,152.5,144.17,360.21,91.46,117.01
7,,322.09,135.97,140.03,544.88,88.31,53.76,233.52,198.7,113.65,272.75,373.12
8,,434.85,103.15,157.75,976.54,60.22,14.89,159.16,96.63,57.01,205.29,96.79
9,,221.3,33.03,84.18,778.98,194.73,42.36,85.82,50.58,35.61,265.34,263.96
10,,147.71,283.79,204.82,432.32,694.92,204.29,122.36,28.18,25.75,202.4,400.03
11,,256.76,578.26,169.49,354.81,1199.58,108.17,142.32,38.68,126.95,110.84,365.46
12,,509.45,231.52,57.4,785.19,632.61,106.06,96.41,169.11,106.88,89.31,258.19
13,,449.09,130.16,165.19,1065.54,68.23,123.95,113.59,121.42,61.21,103.86,47.95
14,,206.8,54.4,248.06,1257.07,153.75,79.56,56.12,129.77,67.6,156.76,
15,,74.26,142.98,185.73,607.19,60.67,115.06,121.06,71.74,51.99,34.84,42.45
16,,61.94,1006.78,228.78,70.43,609.71,126.27,80.5,497.87,51.5,92.59,55.34
17,,249.51,1114.44,423.75,769.99,835.29,41.76,123.9,485.32,76.49,157.25,278.14
18,,166.39,352.11,269.34,849.82,135.99,83.39,101.06,72.81,39.35,108.36,312.04
19,,,200.52,89.74,600.55,84.07,107.59,89.85,65.76,56.64,329.73,227.6
20,,274.6,147.72,90.59,650.91,42.22,60.62,60.82,152.61,134.92,276.22,151.27
21,,526.21,98.71,86.39,774.37,129.6,136.76,57.25,98.6,180.74,176.06,43.85
22,,306.91,89.85,142.17,1160.73,121.6,93.06,61.34,35.25,64.51,107.93,25.36
23,,141.77,164.16,137.12,377.27,88.83,42.23,378.41,14.13,11.93,10.93,304
24,,8.34,83.12,128.83,1085.49,41.42,176.04,378.35,222.48,56.47,38.85,266.44
25,,44.67,734.4,449.21,870.66,114.72,147.53,107.45,222,44.08,121.74,220.18
26,,67.9,896.65,164.04,566.12,530.49,160.71,108.93,268.44,25.83,54.07,143.27
27,,214.88,959.58,65.55,430.78,1196.78,163.65,73.43,117.09,62.64,134.12,120.22
28,,139.71,1022.26,167.75,350.99,671.22,228.25,45.08,131.68,41.72,235.67,926.98
29,,,744.87,596.84,363.71,453.76,214.01,92.6,78.57,81.8,68.62,462.69
30,,,419.75,58.98,305.72,358.87,202.28,92.93,46.01,79.05,45.63,273.46
31,79.75,,110.36,,349.77,,213.63,44.33,,155.53,,170.9
